,Compound,Date,Negative,Neutral,Positive,Tweet_Count,User
0,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,99,@BBCWorld
1,-0.4019,Fri Mar 23 10:30:10 +0000 2018,0.722,0.278,0.0,98,@BBCWorld
2,-0.3818,Fri Mar 23 10:30:10 +0000 2018,0.658,0.342,0.0,97,@BBCWorld
3,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,96,@BBCWorld
4,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,95,@BBCWorld
5,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,94,@BBCWorld
6,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,93,@BBCWorld
7,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,92,@BBCWorld
8,-0.5994,Fri Mar 23 10:30:10 +0000 2018,0.698,0.302,0.0,91,@BBCWorld
9,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,90,@BBCWorld
10,-0.8271,Fri Mar 23 10:30:10 +0000 2018,0.749,0.251,0.0,89,@BBCWorld
11,-0.5994,Fri Mar 23 10:30:10 +0000 2018,0.766,0.234,0.0,88,@BBCWorld
12,-0.3612,Fri Mar 23 10:30:10 +0000 2018,0.762,0.238,0.0,87,@BBCWorld
13,-0.7783,Fri Mar 23 10:30:10 +0000 2018,0.424,0.576,0.0,86,@BBCWorld
14,-0.8316,Fri Mar 23 10:30:10 +0000 2018,0.506,0.494,0.0,85,@BBCWorld
15,-0.4939,Fri Mar 23 10:30:10 +0000 2018,0.738,0.262,0.0,84,@BBCWorld
16,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,83,@BBCWorld
17,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,82,@BBCWorld
18,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,81,@BBCWorld
19,-0.5719,Fri Mar 23 10:30:10 +0000 2018,0.684,0.316,0.0,80,@BBCWorld
20,-0.4939,Fri Mar 23 10:30:10 +0000 2018,0.714,0.286,0.0,79,@BBCWorld
21,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,78,@BBCWorld
22,-0.7579,Fri Mar 23 10:30:10 +0000 2018,0.48,0.52,0.0,77,@BBCWorld
23,-0.34,Fri Mar 23 10:30:10 +0000 2018,0.888,0.112,0.0,76,@BBCWorld
24,-0.3182,Fri Mar 23 10:30:10 +0000 2018,0.68,0.32,0.0,75,@BBCWorld
25,-0.4588,Fri Mar 23 10:30:10 +0000 2018,0.727,0.273,0.0,74,@BBCWorld
26,-0.8176,Fri Mar 23 10:30:10 +0000 2018,0.727,0.273,0.0,73,@BBCWorld
27,-0.5574,Fri Mar 23 10:30:10 +0000 2018,0.66,0.34,0.0,72,@BBCWorld
28,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,71,@BBCWorld
29,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,70,@BBCWorld
30,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,69,@BBCWorld
31,0.5994,Fri Mar 23 10:30:10 +0000 2018,0.837,0.0,0.163,68,@BBCWorld
32,-0.3182,Fri Mar 23 10:30:10 +0000 2018,0.901,0.099,0.0,67,@BBCWorld
33,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,66,@BBCWorld
34,-0.55,Fri Mar 23 10:30:10 +0000 2018,0.669,0.245,0.086,65,@BBCWorld
35,0.34,Fri Mar 23 10:30:10 +0000 2018,0.789,0.0,0.211,64,@BBCWorld
36,-0.2263,Fri Mar 23 10:30:10 +0000 2018,0.826,0.174,0.0,63,@BBCWorld
37,0.3182,Fri Mar 23 10:30:10 +0000 2018,0.813,0.0,0.187,62,@BBCWorld
38,-0.296,Fri Mar 23 10:30:10 +0000 2018,0.784,0.216,0.0,61,@BBCWorld
39,0.0,Fri Mar 23 10:30:10 +0000 2018,0.473,0.297,0.23,60,@BBCWorld
40,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,59,@BBCWorld
41,0.2263,Fri Mar 23 10:30:10 +0000 2018,0.84,0.0,0.16,58,@BBCWorld
42,0.5994,Fri Mar 23 10:30:10 +0000 2018,0.795,0.0,0.205,57,@BBCWorld
43,-0.5994,Fri Mar 23 10:30:10 +0000 2018,0.642,0.358,0.0,56,@BBCWorld
44,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,55,@BBCWorld
45,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,54,@BBCWorld
46,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,53,@BBCWorld
47,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,52,@BBCWorld
48,-0.7964,Fri Mar 23 10:30:10 +0000 2018,0.464,0.536,0.0,51,@BBCWorld
49,0.4588,Fri Mar 23 10:30:10 +0000 2018,0.75,0.0,0.25,50,@BBCWorld
50,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,49,@BBCWorld
51,-0.34,Fri Mar 23 10:30:10 +0000 2018,0.769,0.231,0.0,48,@BBCWorld
52,0.1779,Fri Mar 23 10:30:10 +0000 2018,0.746,0.0,0.254,47,@BBCWorld
53,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,46,@BBCWorld
54,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,45,@BBCWorld
55,-0.6908,Fri Mar 23 10:30:10 +0000 2018,0.513,0.487,0.0,44,@BBCWorld
56,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,43,@BBCWorld
57,-0.6705,Fri Mar 23 10:30:10 +0000 2018,0.776,0.224,0.0,42,@BBCWorld
58,0.25,Fri Mar 23 10:30:10 +0000 2018,0.755,0.099,0.146,41,@BBCWorld
59,0.128,Fri Mar 23 10:30:10 +0000 2018,0.842,0.0,0.158,40,@BBCWorld
60,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,39,@BBCWorld
61,0.4973,Fri Mar 23 10:30:10 +0000 2018,0.624,0.0,0.376,38,@BBCWorld
62,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,37,@BBCWorld
63,0.5106,Fri Mar 23 10:30:10 +0000 2018,0.602,0.0,0.398,36,@BBCWorld
64,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,35,@BBCWorld
65,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,34,@BBCWorld
66,0.34,Fri Mar 23 10:30:10 +0000 2018,0.893,0.0,0.107,33,@BBCWorld
67,-0.5423,Fri Mar 23 10:30:10 +0000 2018,0.72,0.28,0.0,32,@BBCWorld
68,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,31,@BBCWorld
69,-0.128,Fri Mar 23 10:30:10 +0000 2018,0.631,0.207,0.162,30,@BBCWorld
70,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,29,@BBCWorld
71,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,28,@BBCWorld
72,-0.6705,Fri Mar 23 10:30:10 +0000 2018,0.539,0.29,0.172,27,@BBCWorld
73,0.1779,Fri Mar 23 10:30:10 +0000 2018,0.519,0.215,0.267,26,@BBCWorld
74,-0.5106,Fri Mar 23 10:30:10 +0000 2018,0.752,0.248,0.0,25,@BBCWorld
75,-0.7184,Fri Mar 23 10:30:10 +0000 2018,0.5,0.5,0.0,24,@BBCWorld
76,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,23,@BBCWorld
77,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,22,@BBCWorld
78,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,21,@BBCWorld
79,-0.6249,Fri Mar 23 10:30:10 +0000 2018,0.746,0.254,0.0,20,@BBCWorld
80,-0.1531,Fri Mar 23 10:30:10 +0000 2018,0.833,0.167,0.0,19,@BBCWorld
81,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,18,@BBCWorld
82,0.4854,Fri Mar 23 10:30:10 +0000 2018,0.813,0.0,0.187,17,@BBCWorld
83,-0.3182,Fri Mar 23 10:30:10 +0000 2018,0.753,0.247,0.0,16,@BBCWorld
84,0.2263,Fri Mar 23 10:30:10 +0000 2018,0.808,0.0,0.192,15,@BBCWorld
85,-0.1779,Fri Mar 23 10:30:10 +0000 2018,0.743,0.141,0.115,14,@BBCWorld
86,-0.296,Fri Mar 23 10:30:10 +0000 2018,0.833,0.167,0.0,13,@BBCWorld
87,0.3818,Fri Mar 23 10:30:10 +0000 2018,0.776,0.0,0.224,12,@BBCWorld
88,-0.6908,Fri Mar 23 10:30:10 +0000 2018,0.584,0.416,0.0,11,@BBCWorld
89,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,10,@BBCWorld
90,-0.4549,Fri Mar 23 10:30:10 +0000 2018,0.729,0.271,0.0,9,@BBCWorld
91,-0.836,Fri Mar 23 10:30:10 +0000 2018,0.47,0.53,0.0,8,@BBCWorld
92,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,7,@BBCWorld
93,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,6,@BBCWorld
94,-0.836,Fri Mar 23 10:30:10 +0000 2018,0.47,0.53,0.0,5,@BBCWorld
95,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,4,@BBCWorld
96,-0.6249,Fri Mar 23 10:30:10 +0000 2018,0.638,0.362,0.0,3,@BBCWorld
97,-0.5859,Fri Mar 23 10:30:10 +0000 2018,0.676,0.324,0.0,2,@BBCWorld
98,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,1,@BBCWorld
